1
1000 100000
19 611 1
51 173 1
804 354 2
964 709 2
788 446 1
482 443 2
523 63 1
215 510 1
44 110 1
205 384 1
825 282 1
433 722 1
218 948 2
788 82 2
138 532 2
127 918 1
983 519 1
241 454 2
806 77 1
506 631 1
671 533 2
765 14 1
135 78 2
823 999 1
466 338 2
239 32 2
940 460 1
22 99 2
859 613 1
349 186 2
547 691 2
909 646 1
498 861 1
139 791 2
480 483 2
168 956 1
458 328 1
202 145 2
233 753 2
699 364 2
948 511 2
210 262 2
664 7 1
881 426 1
119 685 2
712 509 1
73 309 1
412 489 1
366 142 1
593 865 2
990 52 2
783 649 2
447 997 2
787 961 2
461 181 2
416 445 1
506 81 1
30 344 2
342 21 1
361 140 1
239 773 2
307 736 1
230 56 2
551 405 2
954 374 2
76 681 1
223 79 2
33 357 1
490 639 2
307 315 1
47 894 2
937 155 2
546 842 2
308 120 2
852 370 2
300 306 2
767 526 1
164 731 1
933 495 2
867 758 1
680 737 2
830 246 1
916 464 2
792 720 1
174 31 2
249 220 2
548 540 2
199 456 2
499 422 2
851 721 2
927 32 2
389 717 1
589 663 1
786 963 1
15 561 2
140 427 2
931 694 2
805 482 1
504 213 1
989 354 1
143 921 1
301 428 2
542 699 2
898 216 2
284 184 2
692 484 2
277 783 1
267 807 2
988 181 1
202 74 2
897 303 1
732 171 1
348 182 1
647 995 1
701 976 2
261 630 2
160 534 2
352 316 2
683 803 1
477 90 2
778 909 2
339 775 2
483 130 2
939 259 2
597 833 2
107 182 1
834 686 2
429 139 1
720 607 2
4 215 2
850 961 2
771 315 2
975 116 2
419 917 2
212 557 2
965 384 1
721 977 2
592 301 1
660 822 1
59 95 1
70 267 2
153 982 2
510 622 2
856 79 2
75 797 2
732 508 1
754 631 2
440 266 2
729 327 2
339 4 1
987 641 2
282 827 2
591 98 1
746 662 1
159 434 1
464 33 2
580 215 2
502 840 1
794 430 2
538 199 1
756 616 1
711 75 1
250 365 2
148 45 2
498 69 1
453 667 1
777 6 2
874 778 2
205 12 2
745 568 2
55 325 1
57 699 2
381 602 2
956 855 1
356 210 2
87 46 2
119 97 1
424 878 2
204 66 1
195 443 2
650 38 1
218 139 1
460 624 2
794 172 2
241 319 1
574 212 2
85 910 2
679 877 1
68 472 2
183 703 2
820 223 2
488 539 2
445 529 1
559 989 1
528 86 2
398 36 1
759 896 1
105 939 2
221 173 2
923 942 2
233 877 1
105 631 1
581 282 2
946 989 2
519 41 1
226 726 2
236 69 2
948 796 2
336 844 2
341 335 2
566 100 1
485 436 2
357 975 1
732 277 2
367 826 1
530 932 1
673 166 1
146 544 2
31 490 2
115 734 2
753 173 2
461 483 1
594 944 1
82 892 1
132 826 2
800 740 2
969 582 2
436 122 2
24 160 1
971 121 2
616 177 1
538 330 2
804 616 1
57 46 1
51 481 2
763 722 1
774 367 2
137 738 1
333 522 1
144 827 1
345 618 2
9 465 1
37 51 2
670 864 1
843 459 1
654 885 2
584 901 2
743 956 1
450 139 1
811 767 2
891 811 2
243 520 1
901 175 1
434 283 1
84 674 1
46 997 1
427 262 1
906 540 1
564 746 1
192 882 1
324 140 1
334 551 1
910 518 1
622 276 1
414 3 1
889 384 2
234 330 2
314 467 2
44 362 2
100 564 2
372 843 1
26 776 1
413 804 1
588 89 1
521 239 1
913 478 1
244 130 2
186 515 1
164 842 1
929 48 1
990 861 1
222 993 2
152 949 1
319 9 2
239 486 1
864 856 2
434 406 2
565 451 2
240 869 2
75 165 1
640 824 1
176 231 1
859 856 2
440 834 2
170 714 1
994 85 2
991 825 1
209 782 1
611 409 1
362 381 2
937 383 1
861 10 1
89 824 2
509 926 1
540 749 1
519 189 1
245 337 2
707 576 2
582 548 1
67 632 1
339 984 1
440 913 1
485 307 2
925 307 1
559 854 2
46 929 1
113 441 1
700 40 2
521 532 1
335 588 1
232 405 2
674 154 2
687 244 2
611 594 2
691 927 2
48 436 2
378 753 2
236 436 1
25 956 1
963 15 2
528 259 2
793 894 2
892 752 2
601 723 1
575 439 1
151 394 2
581 725 1
100 861 1
108 38 1
696 99 2
347 760 2
937 996 2
855 306 1
161 78 2
822 567 1
149 363 1
936 10 2
857 50 2
204 731 1
909 680 1
261 10 1
381 732 2
93 579 1
976 116 1
896 550 1
66 811 2
572 830 1
182 55 2
276 234 1
149 757 2
504 890 1
532 996 1
390 906 1
816 705 1
230 308 2
294 583 2
866 23 1
73 636 2
148 935 2
33 279 2
169 661 2
509 514 2
927 459 2
532 430 1
144 669 1
600 271 1
650 576 1
496 377 2
18 5 2
997 241 1
294 621 2
626 575 2
344 514 2
458 613 2
638 933 1
103 486 2
388 696 2
442 222 1
228 938 2
237 79 2
34 263 1
704 968 1
236 278 2
237 532 1
60 609 1
370 984 1
457 17 1
365 303 1
140 198 2
796 511 1
356 870 2
849 528 2
634 364 1
636 15 1
905 277 1
909 368 2
941 797 1
506 484 2
996 975 1
743 686 2
167 77 1
94 366 2
230 19 1
833 269 2
856 25 2
494 149 1
807 169 1
274 881 2
100 425 1
443 698 1
743 85 1
956 605 1
479 645 2
236 100 1
881 894 2
42 852 1
549 854 2
322 553 1
592 993 1
698 418 2
738 456 2
55 993 1
231 931 1
443 825 2
803 69 2
675 146 1
362 326 1
993 331 1
344 563 2
470 716 1
885 153 1
238 206 1
730 867 2
766 535 2
730 479 2
669 145 1
649 112 2
594 741 1
282 320 1
130 283 1
246 982 1
955 722 2
499 943 1
239 903 1
591 871 1
217 883 2
544 572 2
762 762 1
640 799 2
556 531 2
90 654 1
740 978 2
743 776 2
148 971 2
148 680 2
155 580 2
869 260 1
596 272 1
119 366 1
489 827 2
382 376 1
284 365 2
887 259 1
171 196 1
428 214 2
711 748 2
395 803 1
826 907 1
917 342 2
626 999 1
789 330 1
657 997 1
581 458 1
774 578 1
790 664 1
136 459 2
165 912 2
127 385 2
401 412 1
782 349 2
436 206 1
178 303 1
560 61 2
166 140 2
499 598 2
240 892 1
519 12 1
424 918 2
498 198 1
205 22 1
931 994 2
310 598 2
151 903 1
661 965 2
958 838 2
326 694 1
356 943 1
593 122 1
871 812 1
536 793 1
185 618 1
635 265 1
467 623 2
522 355 2
916 432 1
425 317 2
833 541 1
585 538 2
253 864 1
944 555 1
582 689 2
453 587 2
401 824 2
232 184 1
513 305 1
675 34 1
696 856 2
576 730 1
482 468 1
800 192 1
433 741 1
387 692 1
617 740 1
518 811 2
911 897 2
819 516 2
637 536 1
6 166 2
333 827 1
732 50 2
725 515 2
807 676 2
582 423 2
158 349 1
286 446 2
730 870 1
42 550 2
29 168 2
363 315 1
544 181 2
34 430 1
572 181 1
93 795 2
970 575 1
963 940 1
121 274 2
938 564 1
60 941 2
956 105 1
705 724 1
605 395 2
511 165 2
580 411 2
690 659 2
281 299 1
693 283 1
765 514 1
268 620 2
845 443 1
536 169 2
109 481 2
142 877 2
339 252 1
985 769 1
712 891 1
279 184 2
415 706 1
828 368 2
972 225 2
432 237 2
518 25 1
843 701 2
227 973 2
595 641 2
322 172 2
11 943 1
327 501 2
345 592 2
578 257 1
172 485 1
393 282 2
119 783 1
672 922 2
860 3 2
136 292 2
806 796 2
34 416 1
106 296 2
936 89 1
869 837 2
30 178 1
706 985 2
622 158 2
793 662 2
230 626 2
763 225 1
215 854 2
954 191 1
738 47 2
92 286 1
896 183 1
796 252 2
523 908 1
222 10 1
308 936 1
733 679 1
70 559 1
346 197 1
6 505 2
54 574 1
452 273 2
957 213 1
406 602 2
819 907 2
277 751 1
255 40 1
271 718 1
899 569 1
291 83 2
987 178 1
734 259 1
608 470 1
96 343 2
328 571 2
298 237 1
533 889 2
878 312 2
635 48 1
985 916 1
435 197 1
743 312 2
181 884 1
723 882 2
232 682 2
130 157 2
288 11 2
827 72 2
464 810 2
771 865 1
442 996 1
365 50 2
429 122 1
706 253 1
657 159 2
27 3 1
6 24 2
826 679 1
39 412 1
526 612 2
381 426 2
298 875 1
154 97 2
728 46 1
638 806 1
959 346 2
596 977 2
914 247 2
720 738 2
303 61 2
259 789 2
727 919 2
720 321 1
554 368 2
966 226 1
987 430 1
774 594 1
391 434 1
368 686 1
53 250 2
971 471 2
243 94 1
918 763 1
780 136 2
156 380 1
27 293 2
615 171 2
898 216 1
74 458 1
888 797 2
253 965 2
700 428 1
667 603 1
51 376 1
202 149 1
617 563 1
280 10 2
777 747 1
877 610 1
805 434 1
332 9 1
25 537 2
589 878 2
971 526 2
827 861 1
707 865 2
645 726 2
32 35 1
728 851 2
184 77 1
70 682 2
790 305 1
206 699 2
528 479 1
786 625 2
68 473 2
640 588 1
243 958 1
140 20 2
606 895 2
411 763 1
619 525 1
358 446 2
506 680 1
659 934 1
930 592 1
880 256 2
665 500 2
501 891 2
209 613 1
618 222 2
827 156 1
23 502 2
780 997 2
243 243 2
152 424 1
194 2 2
646 88 1
886 997 2
123 20 2
928 349 1
643 557 1
12 161 2
805 148 1
306 716 2
131 473 2
144 420 2
938 180 1
73 947 2
328 402 1
771 355 2
419 732 2
578 351 1
735 770 2
668 870 2
549 191 1
126 944 1
342 281 2
290 390 1
486 543 2
85 75 1
611 7 1
906 852 1
972 281 2
231 140 1
419 1000 1
357 28 1
720 210 1
333 539 2
960 346 1
707 103 2
440 907 2
562 795 2
708 493 1
982 379 1
509 930 2
900 176 2
79 161 2
116 687 2
397 32 2
767 391 2
289 222 1
985 522 1
243 50 1
530 725 2
113 348 1
683 848 1
752 517 2
464 411 1
905 793 1
490 135 1
505 531 1
146 859 2
912 785 2
333 375 1
197 407 2
194 415 2
654 770 1
978 805 2
232 786 1
749 786 1
473 453 1
563 168 1
28 972 1
203 58 1
884 887 1
671 41 2
811 705 1
496 661 1
924 875 1
468 284 1
548 882 1
211 307 2
967 185 1
88 832 2
424 182 1
216 347 1
419 790 1
202 546 1
517 859 2
693 962 2
75 206 2
237 767 2
209 945 2
461 815 1
371 628 1
504 615 1
956 556 2
675 230 2
252 55 2
827 799 1
58 177 2
411 530 1
436 313 1
216 826 1
247 188 2
197 11 1
224 893 2
210 585 2
735 849 1
690 110 1
679 341 1
879 522 1
285 534 2
422 529 2
644 203 1
947 438 1
628 321 1
783 835 1
789 870 2
57 56 1
632 986 1
588 144 1
700 788 1
901 261 2
16 657 2
790 441 1
661 989 2
679 490 2
245 712 2
158 974 2
121 596 2
146 956 2
843 97 1
602 748 1
446 54 1
919 993 2
830 357 2
15 523 1
543 958 2
165 420 1
46 565 2
982 218 1
550 333 2
818 248 2
714 505 2
164 630 1
443 473 1
719 265 1
291 688 2
814 176 1
962 23 2
158 22 2
743 966 1
591 131 1
152 818 2
454 591 2
85 292 2
397 199 1
534 802 1
723 532 2
114 940 2
809 167 2
1 418 2
910 165 2
465 840 2
651 422 1
556 482 1
563 62 1
483 190 2
712 299 1
470 546 2
639 61 1
495 477 2
102 573 1
751 146 2
67 748 2
403 872 2
789 856 1
897 49 2
181 864 1
688 301 1
132 25 1
950 519 2
22 142 2
444 694 1
10 157 1
161 855 1
544 923 1
739 949 1
388 613 1
510 467 1
546 151 2
727 960 2
42 790 1
152 507 2
27 641 1
629 297 1
104 614 2
407 509 2
466 992 2
99 843 1
301 436 1
182 493 1
493 332 1
202 467 2
228 844 1
353 312 2
274 218 2
959 65 2
627 913 1
204 910 1
817 535 2
211 576 2
797 221 2
451 471 1
698 851 1
820 154 1
421 375 2
136 426 1
577 835 1
752 845 1
295 571 2
19 655 1
142 255 2
562 149 1
889 831 2
201 814 1
796 313 2
951 594 1
820 121 2
374 625 1
931 695 2
430 960 1
979 600 1
195 974 1
859 328 2
635 209 1
310 783 2
388 393 2
865 397 1
783 630 1
674 869 1
675 610 2
25 741 1
936 367 1
924 151 2
964 616 1
329 207 1
580 595 1
274 526 2
608 280 1
419 353 1
335 677 1
731 468 1
788 379 2
713 270 2
313 858 1
318 749 2
821 383 2
323 547 2
777 690 2
655 14 1
574 970 2
950 772 1
765 774 2
218 862 2
120 495 2
162 507 2
225 644 2
440 350 1
503 702 2
797 528 1
947 184 1
874 798 2
904 770 2
175 506 1
964 638 1
180 1000 2
504 774 2
723 813 1
822 118 1
748 854 2
179 189 1
999 252 1
344 216 1
919 778 2
994 171 1
493 913 1
748 413 2
630 135 2
19 850 2
459 642 1
463 400 1
636 99 2
166 401 1
67 796 1
336 701 2
214 230 2
121 4 2
376 8 1
807 932 2
185 510 1
326 653 1
263 984 1
388 417 2
317 517 1
37 268 1
243 667 1
84 706 2
682 85 2
287 716 2
803 737 2
556 560 1
368 954 2
963 827 1
850 48 1
505 845 1
1000 700 1
255 165 1
908 646 2
361 246 2
512 897 1
240 952 2
607 679 2
263 844 2
245 663 2
746 298 1
179 200 1
769 14 1
955 918 1
874 308 2
561 208 1
546 741 1
507 299 2
770 370 1
934 121 2
202 704 2
59 11 2
600 437 1
761 623 1
580 376 1
110 717 2
616 362 2
365 675 1
421 472 2
306 828 2
600 72 2
945 220 1
185 448 2
638 78 2
866 869 2
111 96 2
551 242 2
849 26 2
651 747 2
553 102 2
727 553 2
872 139 1
502 830 1
128 352 2
948 907 1
257 171 2
53 963 2
336 684 1
386 346 2
112 971 1
940 533 1
680 239 2
396 623 1
396 607 1
735 721 1
627 301 2
215 650 1
862 774 1
296 776 2
282 224 2
842 351 1
965 419 2
256 2 2
497 421 2
64 502 1
428 368 2
660 979 2
661 530 2
361 458 2
526 329 1
58 22 2
356 378 1
231 4 2
753 877 2
691 162 1
77 14 1
959 224 1
528 750 1
549 198 1
387 397 1
405 576 1
894 820 1
243 86 2
237 707 2
587 669 1
385 688 1
573 515 2
350 144 1
696 394 2
529 182 1
157 753 1
665 41 1
897 29 2
81 126 2
472 421 1
342 287 2
529 290 2
968 10 1
591 774 1
711 568 1
882 378 1
610 207 1
308 283 1
443 739 1
667 892 1
436 777 1
692 74 1
931 492 1
898 983 1
603 155 1
950 927 1
596 897 1
946 63 1
706 565 1
524 232 1
335 337 1
929 946 1
874 354 2
901 298 2
370 954 2
101 25 1
537 839 1
818 847 2
917 533 1
776 550 1
804 600 2
868 274 1
851 156 2
292 428 2
172 236 2
963 559 1
486 104 1
571 374 2
618 304 1
437 762 2
201 940 1
242 87 2
118 432 2
837 618 1
269 971 2
676 369 1
897 666 2
174 182 2
345 560 1
425 334 1
309 571 1
185 681 1
2 156 1
148 116 1
612 713 2
327 266 2
701 703 2
905 658 2
730 725 1
195 812 1
239 725 1
412 562 1
936 851 1
596 977 2
677 892 1
19 70 2
526 483 2
850 928 1
488 153 1
698 100 2
18 86 1
181 357 1
985 13 2
70 936 1
639 816 2
446 771 1
528 197 1
893 130 2
225 58 1
763 894 2
832 238 1
139 931 2
633 869 2
679 556 1
487 997 1
595 953 1
564 265 2
565 132 2
655 827 2
672 12 2
147 506 2
85 576 2
837 504 1
268 546 2
805 940 1
894 953 1
518 515 1
473 693 1
512 744 2
216 304 2
68 330 1
310 724 2
352 179 1
484 632 1
584 326 1
55 305 2
809 338 2
981 497 1
816 503 2
114 590 2
615 192 1
133 712 2
526 59 1
707 295 2
29 643 2
288 883 1
463 616 1
968 84 2
717 549 2
731 954 2
383 706 1
66 347 1
359 626 1
471 887 1
445 536 2
513 480 1
390 353 2
110 326 2
995 550 2
268 92 2
852 762 2
797 175 2
731 467 1
755 529 1
741 122 1
210 44 1
526 372 1
255 879 2
581 431 1
311 416 2
243 291 1
253 311 1
953 512 2
489 187 2
898 604 1
674 679 1
336 526 2
823 741 1
573 180 1
967 652 1
629 366 1
206 818 2
209 53 2
791 717 1
10 949 1
814 138 1
593 806 2
471 592 1
712 983 1
883 973 1
899 332 1
562 500 2
637 519 2
399 631 2
271 13 2
785 322 1
366 68 1
607 691 1
765 955 2
936 786 2
211 794 2
558 241 1
586 813 2
268 331 2
818 887 1
601 467 2
857 852 2
635 21 1
760 336 1
844 166 2
559 457 1
493 760 2
724 72 1
634 428 1
860 279 1
330 447 1
86 268 1
924 463 1
566 434 1
280 527 1
753 264 1
301 938 2
778 381 1
25 13 2
232 2 2
192 924 2
113 378 2
454 424 1
31 816 2
941 785 1
181 55 1
157 770 1
504 565 2
212 706 2
366 260 2
976 294 1
325 523 1
106 258 1
824 435 1
391 837 1
680 133 2
220 338 1
483 832 1
67 201 2
45 136 1
305 238 2
88 479 1
581 885 2
796 353 2
754 331 1
63 190 1
314 804 2
749 724 2
539 513 2
91 792 1
312 375 2
896 528 2
7 931 2
233 990 1
660 547 1
24 303 2
244 863 2
105 240 1
471 648 1
74 24 2
304 936 1
549 824 2
9 314 2
170 585 1
530 692 1
859 333 2
58 839 2
921 153 2
193 414 2
766 997 2
428 498 1
710 219 2
616 426 2
495 290 2
798 397 2
441 448 2
100 934 2
57 968 2
384 665 1
760 204 1
874 607 1
269 864 1
783 424 1
150 947 2
964 971 2
311 500 1
615 785 2
941 38 2
592 632 2
893 11 1
853 411 1
279 694 1
845 798 2
227 212 2
591 612 1
852 926 1
638 993 2
100 619 1
897 368 2
629 367 1
288 552 1
425 793 2
793 514 1
522 858 2
171 800 2
393 123 1
921 415 1
219 515 1
812 68 1
108 656 2
103 263 2
694 937 1
624 930 1
285 51 1
720 831 2
882 633 1
19 352 1
380 637 2
152 466 2
449 953 2
737 182 1
379 2 1
719 555 2
300 386 2
637 338 2
129 698 2
200 691 1
431 320 1
841 96 2
884 456 2
625 509 2
440 430 2
367 992 1
359 139 2
45 59 2
366 137 1
500 685 2
250 720 2
432 142 1
63 395 1
448 152 2
998 2 2
515 398 1
171 691 1
490 474 1
660 989 1
512 326 2
35 612 1
893 445 2
920 680 1
4 243 1
803 55 2
353 898 2
662 519 2
38 628 2
336 558 2
749 286 2
393 148 2
960 532 1
761 85 1
472 717 1
987 185 1
204 239 2
927 318 1
237 448 2
917 615 2
508 998 2
112 10 2
926 328 1
788 65 1
565 461 2
157 808 1
456 436 2
618 831 2
895 994 2
751 640 1
153 770 1
419 977 2
696 662 1
117 214 1
208 836 1
304 848 2
984 4 1
838 200 2
770 596 2
914 772 1
547 798 1
950 29 2
206 365 1
800 272 2
607 184 1
884 189 1
223 126 1
479 652 2
936 965 1
20 331 2
85 891 2
936 136 1
422 366 2
814 563 1
51 672 1
695 364 2
995 617 2
919 466 1
293 124 1
833 682 2
550 436 2
280 23 1
193 975 2
624 614 1
208 569 1
746 330 2
570 42 1
624 22 2
602 45 1
292 233 2
249 323 2
229 899 2
269 137 2
889 114 2
733 622 1
299 61 2
844 468 2
133 954 1
528 91 1
928 239 2
453 164 2
671 583 2
233 644 1
209 1 1
467 528 2
605 307 1
454 236 2
288 481 2
196 25 1
707 633 2
396 851 2
796 648 2
722 94 1
51 429 1
132 855 1
429 202 1
397 737 1
791 491 1
897 692 2
159 210 2
774 91 1
742 391 1
308 479 2
75 468 1
648 652 2
892 328 1
448 306 2
874 6 1
285 577 2
761 494 2
34 884 2
989 475 1
210 584 1
146 646 2
402 923 2
626 588 1
699 516 1
478 263 2
231 225 1
693 107 2
652 394 2
154 967 2
587 681 2
285 59 1
957 21 2
692 812 2
324 287 1
793 16 1
815 818 1
822 83 2
633 708 1
963 517 1
659 392 1
499 950 2
299 2 1
885 416 1
228 953 2
513 419 1
732 448 1
830 336 1
618 360 2
494 449 1
140 836 2
790 93 1
680 147 1
396 563 1
945 480 2
639 387 1
511 200 1
129 492 2
446 746 2
4 549 2
796 903 1
603 250 2
872 91 2
68 10 2
1 536 2
359 614 2
72 569 2
245 716 2
488 266 2
143 274 2
13 913 1
606 424 2
69 848 2
304 782 1
406 817 2
512 305 2
18 985 2
291 324 1
336 812 1
998 341 2
102 575 1
863 388 2
401 897 1
321 775 1
573 765 2
131 472 1
859 475 2
171 179 1
521 62 2
681 147 2
450 377 2
736 142 2
838 785 2
433 196 2
126 62 2
104 795 2
49 649 2
405 729 1
944 399 1
66 851 2
805 65 2
833 365 1
705 306 2
130 723 1
188 723 1
794 599 2
770 982 2
773 993 1
1 954 2
842 180 2
944 814 2
665 993 1
459 519 2
698 915 1
697 555 1
286 184 2
115 656 1
967 769 2
439 394 1
285 901 2
8 27 2
400 308 1
881 303 1
61 291 1
671 842 1
726 227 1
97 172 2
548 276 1
76 446 2
353 523 2
972 753 2
560 664 2
751 659 1
246 391 1
534 277 2
723 666 2
496 757 1
554 318 2
690 715 2
898 534 2
456 569 2
211 317 2
616 305 2
518 74 1
924 413 2
182 796 1
673 43 1
981 526 1
740 717 2
237 773 1
722 568 1
966 370 2
321 897 2
999 699 1
365 763 1
989 6 2
1000 808 2
108 490 2
860 381 1
988 582 2
324 756 2
744 400 1
973 310 2
938 112 1
433 4 1
216 760 2
873 60 1
835 544 1
820 834 2
710 361 2
240 354 1
624 644 1
243 664 1
50 103 1
743 746 2
78 347 2
356 112 1
225 761 1
225 929 2
7 374 1
151 800 2
949 218 2
305 103 2
701 228 1
91 253 1
112 947 2
513 782 2
90 541 1
564 317 2
46 576 2
748 333 1
879 302 2
238 367 1
336 849 1
444 469 2
179 946 2
774 444 1
144 920 1
503 489 2
981 259 1
957 992 1
619 234 1
93 275 1
54 704 1
452 300 2
885 401 2
297 301 1
860 907 2
262 647 2
455 759 1
425 410 2
101 62 1
361 180 2
206 171 1
591 527 2
404 759 2
151 866 2
93 977 1
270 189 2
566 46 2
741 77 2
662 885 2
516 145 2
370 451 1
899 192 1
825 310 2
754 653 1
468 852 1
86 492 2
477 798 2
869 301 2
90 841 2
899 202 1
80 996 1
28 758 1
329 249 2
377 895 2
186 591 2
397 370 1
9 125 2
107 990 1
106 800 1
700 843 2
729 179 1
259 541 2
163 752 2
622 851 1
366 809 1
244 243 2
90 105 2
434 132 1
487 477 1
107 771 1
410 231 1
6 745 1
469 551 2
341 251 2
178 670 1
369 837 2
283 282 1
699 34 2
696 917 1
660 952 1
830 62 2
708 473 2
918 179 1
873 84 1
955 304 2
573 756 1
587 387 2
391 708 1
539 302 2
894 162 2
619 157 1
499 132 2
186 1 2
840 538 2
388 497 2
776 863 1
452 394 2
38 470 1
556 181 2
602 9 1
500 363 1
914 304 1
801 881 2
938 777 2
331 751 1
11 224 2
729 36 1
970 349 2
43 693 1
698 250 1
579 86 2
471 675 2
549 75 2
830 965 1
71 113 2
596 891 2
65 303 2
967 884 1
391 339 2
741 455 1
87 339 1
620 228 1
432 319 2
485 62 2
893 651 2
57 688 2
897 16 1
773 806 1
148 111 1
505 183 2
719 139 1
474 430 2
290 560 1
521 269 1
107 306 1
933 237 1
88 524 1
599 260 2
487 776 1
978 696 2
704 917 1
876 607 2
21 140 1
589 568 2
282 160 1
709 851 2
554 946 2
538 894 1
26 552 1
885 835 2
801 339 2
615 519 1
954 245 1
378 206 2
718 778 1
745 598 1
891 519 2
914 836 2
309 407 2
518 574 1
678 371 2
329 429 1
632 677 1
495 427 1
228 540 1
246 433 1
197 671 2
790 198 1
498 743 1
769 309 2
963 177 2
732 856 2
846 576 2
337 410 1
439 918 1
491 860 1
163 112 1
52 23 2
230 691 2
973 954 1
857 515 1
468 504 2
137 983 2
397 139 2
882 37 2
958 129 1
45 32 1
729 608 2
486 331 2
245 535 1
141 844 2
939 214 2
804 186 2
106 668 1
391 92 1
561 202 2
382 814 1
19 364 1
426 204 2
470 550 1
71 941 1
200 329 2
144 244 1
711 816 1
140 724 1
29 491 2
471 819 2
386 592 1
526 557 1
220 535 1
398 345 1
894 379 2
381 484 2
77 547 1
960 172 1
580 878 1
913 774 1
137 174 2
503 592 2
137 166 2
460 175 1
515 193 1
943 636 1
192 907 1
980 951 2
527 287 1
631 641 2
11 909 2
249 478 2
594 222 1
118 580 1
489 682 2
643 399 1
703 211 2
478 945 1
517 764 1
162 912 2
112 830 2
327 689 1
118 499 2
352 902 2
607 930 1
433 356 1
400 537 2
619 69 2
573 957 2
766 584 2
922 732 1
143 21 1
200 456 2
253 391 2
436 528 2
686 252 2
832 611 1
331 691 2
982 302 2
474 435 2
870 693 1
81 523 1
380 735 1
957 77 1
379 855 1
467 300 2
229 604 1
689 591 1
76 692 1
913 359 1
223 498 1
1 741 1
630 380 2
669 728 1
718 355 2
36 581 1
247 367 1
883 673 1
735 8 1
912 976 1
347 153 2
520 440 2
462 425 2
865 663 1
802 140 1
583 492 1
139 219 2
899 964 2
726 760 1
980 390 1
607 982 2
259 954 2
680 527 1
851 498 1
471 657 2
170 380 2
669 810 2
53 498 2
71 229 2
109 188 2
432 528 2
538 190 1
710 144 1
921 878 2
376 326 2
803 771 1
832 214 1
258 119 2
367 914 2
937 514 2
432 275 2
922 456 1
915 707 1
784 809 2
908 522 2
178 768 2
803 298 2
599 975 1
20 371 1
578 648 1
824 289 1
116 77 1
859 216 1
83 668 2
8 740 1
408 62 1
329 543 1
276 214 1
95 980 1
997 152 2
291 72 2
208 750 2
998 63 1
801 828 1
501 800 1
406 724 2
696 278 1
929 322 1
244 1 1
545 287 1
28 297 2
731 614 2
638 647 2
817 541 2
933 103 1
641 693 1
36 121 2
996 126 2
85 992 1
1 341 1
42 137 2
961 715 1
560 826 2
385 586 2
686 168 1
333 476 1
282 234 2
926 711 2
545 182 2
883 591 2
120 859 2
693 990 1
966 226 2
985 110 2
326 781 2
165 664 1
71 64 2
179 348 1
473 929 1
379 317 1
237 541 2
251 424 2
903 398 1
430 322 2
555 271 1
274 811 2
334 995 2
67 877 1
853 320 2
32 119 1
461 555 2
375 531 1
689 361 2
488 311 2
593 667 1
211 193 1
543 591 2
995 881 2
742 774 1
210 223 2
926 290 2
481 762 2
954 617 2
662 520 1
204 523 1
654 399 2
28 522 1
987 583 2
889 4 2
129 796 2
501 384 2
851 124 1
557 831 1
633 705 1
196 127 1
269 649 1
379 548 1
580 993 1
541 512 1
311 124 1
21 220 2
37 559 1
515 384 1
161 569 2
309 994 2
640 876 1
181 774 2
178 577 1
935 443 1
306 469 1
493 50 2
862 726 1
809 461 1
385 966 2
32 294 2
9 950 2
16 861 2
288 604 1
788 546 1
821 609 1
23 84 2
680 461 1
855 531 2
941 458 1
35 539 2
284 82 2
878 549 2
659 658 1
398 326 2
600 954 2
291 309 1
999 198 2
304 213 2
91 213 2
670 751 2
710 626 2
186 784 2
730 829 2
82 838 1
669 291 2
37 949 1
718 650 1
866 170 1
594 487 1
197 448 1
483 735 2
853 883 2
158 23 2
297 904 1
219 878 1
912 553 1
742 383 1
650 430 2
243 219 2
912 15 1
448 109 2
441 330 2
308 464 2
430 553 1
522 602 2
778 549 1
903 424 1
45 519 1
16 637 2
693 615 2
672 931 1
21 916 1
98 164 2
349 250 1
558 827 1
314 850 2
999 116 1
200 893 2
21 939 2
583 173 1
526 86 1
992 87 1
861 673 1
51 1 1
596 780 2
634 150 1
443 769 1
442 31 2
322 811 2
797 920 2
979 623 1
521 383 1
555 265 1
477 376 1
831 441 2
14 110 2
717 301 2
371 742 1
668 487 2
69 14 2
41 320 1
884 29 2
227 402 1
962 22 1
983 413 1
24 484 1
865 944 1
138 300 1
902 503 1
308 322 1
784 681 2
953 912 1
427 758 2
554 438 1
843 807 2
871 204 1
956 772 1
496 765 1
134 907 2
778 726 2
369 509 2
726 408 2
230 292 1
624 20 1
108 73 2
982 161 1
915 346 1
234 928 2
975 663 2
232 983 1
959 5 2
421 684 2
238 473 2
668 336 1
15 777 1
791 637 1
349 401 1
980 243 2
806 45 1
95 842 1
282 634 1
632 938 2
593 446 1
984 726 1
419 482 2
546 790 2
533 150 1
836 996 2
881 188 2
903 312 1
325 689 1
199 76 2
706 175 2
426 166 1
580 530 1
526 353 1
812 589 1
119 726 1
771 276 2
561 449 1
3 470 2
422 178 2
777 928 2
871 589 1
12 745 1
824 361 2
173 830 2
729 986 1
657 738 1
707 698 1
924 931 2
157 896 2
938 205 1
739 144 2
390 861 2
276 664 2
276 251 1
964 373 2
568 434 1
435 787 1
489 758 1
970 842 1
423 480 2
554 531 1
466 670 2
533 2 1
424 401 2
544 251 1
701 265 1
215 267 2
379 689 1
838 878 1
